model,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_brier
Gradient Boosting,0.9379629805104059,0.9184782608695652,0.9223300970873787,0.9313725490196079,0.926829268292683,0.9490674318507891,0.07616694806745831
Stacking Ensemble,0.9376269399575634,0.9130434782608695,0.9215686274509803,0.9215686274509803,0.9215686274509803,0.9483500717360115,0.07764678500480852
XGBoost,0.9398827550047063,0.907608695652174,0.9207920792079208,0.9117647058823529,0.916256157635468,0.9475131516021043,0.08244577795267105
Random Forest,0.9361651537261293,0.9130434782608695,0.9134615384615384,0.9313725490196079,0.9223300970873787,0.9399808703969392,0.094515102582841
SVM,0.915113907471631,0.8586956521739131,0.8454545454545455,0.9117647058823529,0.8773584905660378,0.914454806312769,0.10015761484892982
Logistic Regression,0.909305366920543,0.8586956521739131,0.8454545454545455,0.9117647058823529,0.8773584905660378,0.9084170253467241,0.11000544591563917
Decision Tree,0.8992937715701943,0.8206521739130435,0.8709677419354839,0.7941176470588235,0.8307692307692308,0.8890483022477284,0.12937374244818384
